GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
csme-api,com.csme.csmeapi,WebConfig,0,20,0,0,0,6,0,2,0,2
csme-api,com.csme.csmeapi,CsmeApiApplication,14,3,0,0,3,1,2,1,2,1
csme-api,com.csme.csmeapi.models,Order,276,0,20,0,63,0,33,0,23,0
csme-api,com.csme.csmeapi.models,Pet.StatusEnum,75,0,4,0,12,0,6,0,4,0
csme-api,com.csme.csmeapi.models,ModelApiResponse,164,0,14,0,38,0,21,0,14,0
csme-api,com.csme.csmeapi.models,Order.StatusEnum,75,0,4,0,12,0,6,0,4,0
csme-api,com.csme.csmeapi.models,Pet,305,0,24,0,70,0,37,0,25,0
csme-api,com.csme.csmeapi.models,Tag,127,0,12,0,30,0,17,0,11,0
csme-api,com.csme.csmeapi.models,Category,127,0,12,0,30,0,17,0,11,0
csme-api,com.csme.csmeapi.dto,Pet.StatusEnum,30,45,4,0,5,7,4,2,2,2
csme-api,com.csme.csmeapi.dto,Pet,262,43,24,0,52,15,29,8,17,8
csme-api,com.csme.csmeapi.controller,CsmeApiController,50,16,9,1,11,4,7,2,2,2
csme-api,com.csme.csmeapi.exception,CustomBodyValidationException,14,0,0,0,4,0,2,0,2,0
csme-api,com.csme.csmeapi.exception,BodyErrorMessage,23,0,0,0,10,0,5,0,5,0
csme-api,com.csme.csmeapi.exception,CustomValidationException,19,0,2,0,7,0,4,0,3,0
csme-api,com.csme.csmeapi.exception,ErrorMessage,34,0,0,0,8,0,6,0,6,0
csme-api,com.csme.csmeapi.exception,GlobalExceptionHandler,40,3,0,0,9,1,2,1,2,1
csme-api,com.csme.csmeapi.exception,ErrorCode,33,0,0,0,8,0,4,0,4,0
csme-api,com.csme.csmeapi.serviceimpl,CsmeServiceImpl,12,0,0,0,4,0,2,0,2,0
